symbol,trade_date,first_price,final_price,last_trade_price,number_of_trades,volume,min_price,max_price,change,next_price,predicted_price
بفجر,2018-01-01,5988.0,5974.0,6000.0,69.0,876485.0,5800.0,6053.0,51.0,5970.0,
بفجر,2018-01-02,6032.0,5970.0,5897.0,48.0,296935.0,5897.0,6032.0,-4.0,5973.0,
بفجر,2018-01-03,5897.0,5973.0,5850.0,55.0,1077537.0,5764.0,6000.0,3.0,5972.0,
بفجر,2018-01-06,5875.0,5972.0,5850.0,21.0,25872.0,5850.0,5900.0,-1.0,5971.0,
بفجر,2018-01-07,5800.0,5971.0,5801.0,6.0,14401.0,5800.0,5801.0,-1.0,5950.0,
بفجر,2018-01-08,5801.0,5950.0,5789.0,42.0,183483.0,5740.0,5801.0,-21.0,5947.0,
بفجر,2018-01-09,5742.0,5947.0,5800.0,18.0,21317.0,5740.0,5800.0,-3.0,5915.0,
بفجر,2018-01-10,5740.0,5915.0,5710.0,48.0,222185.0,5700.0,5740.0,-32.0,5909.0,
بفجر,2018-01-13,5724.0,5909.0,5706.0,15.0,48320.0,5706.0,5724.0,-6.0,5906.0,
بفجر,2018-01-14,5710.0,5906.0,5731.0,18.0,25845.0,5710.0,5732.0,-3.0,5886.0,
بفجر,2018-01-15,5731.0,5886.0,5730.0,56.0,210757.0,5720.0,5779.0,-20.0,5879.0,5906.000300944906
بفجر,2018-01-16,5721.0,5879.0,5770.0,31.0,91451.0,5720.0,5770.0,-7.0,5725.0,5886.002001888586
بفجر,2018-01-17,5715.0,5725.0,5685.0,156.0,1508618.0,5685.0,5765.0,-154.0,5723.0,5879.000700276691
بفجر,2018-01-20,5641.0,5723.0,5750.0,41.0,206260.0,5641.0,5750.0,-2.0,5701.0,5725.015586221397
بفجر,2018-01-21,5650.0,5701.0,5675.0,86.0,1501777.0,5649.0,5710.0,-22.0,5702.0,5723.00020157882
بفجر,2018-01-22,5748.0,5702.0,5705.0,41.0,635469.0,5681.0,5748.0,1.0,5701.0,5701.002218261048
بفجر,2018-01-23,5700.0,5701.0,5685.0,19.0,93738.0,5650.0,5701.0,-1.0,5699.0,5701.999900140166
بفجر,2018-01-24,5670.0,5699.0,5700.0,42.0,277754.0,5620.0,5728.0,-2.0,5699.0,5701.0001007194605
بفجر,2018-01-27,5696.0,5699.0,5699.0,12.0,107591.0,5625.0,5699.0,0.0,5698.0,5699.000201954027
